id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
4972,The Birth of a Nation,195,1915,6.4,,20737,10000000,,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan."
6864,Intolerance: Love's Struggle Throughout the Ages,163,1916,7.8,92,13031,2180000,,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
9968,Broken Blossoms or The Yellow Man and the Girl,90,1919,7.4,,8700,,,"A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences."
10323,Das Cabinet des Dr. Caligari,76,1920,8.1,,50866,,,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
12349,The Kid,68,1921,8.3,,100210,5450000,,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
12364,Körkarlen,100,1921,8.1,,9106,,,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life."
13086,"Dr. Mabuse, der Spieler",242,1922,7.9,,6751,,,Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.
13442,"Nosferatu, simfonija groze",94,1922,7.9,,81919,,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
14341,Naše gostoljubje,65,1923,7.9,,9283,,,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family."
14429,Resitev v zadnjem trenutku,74,1923,8.1,,16662,623809,,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.
15064,Der letzte Mann,77,1924,8.1,,11260,94812,,"An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society."
15163,The Navigator,59,1924,7.8,,8320,1483285,,Two spoiled rich people find themselves trapped on an empty passenger ship.
15324,Sherlock Jr.,45,1924,8.2,,34452,977375,,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
15648,Bronenosets Potemkin,75,1925,8.0,,48807,50970,,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
15864,Zlata mrzlica,95,1925,8.2,,91091,5450000,,A prospector goes to the Klondike in search of gold and finds it and more.
15881,Greed,140,1924,8.1,,8374,161800,,The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.
16220,The Phantom of the Opera,93,1925,7.6,,15270,3751476,,"A mad, disfigured composer seeks love with a lovely young opera singer."
16332,Seven Chances,56,1925,7.9,,8332,210748,,A man learns he will inherit a fortune if he marries by 7 p.m. that same day.
16641,Ben Hur,143,1925,7.8,,6869,12449980,,A Jewish prince seeks to find his family and revenge himself upon his childhood friend who had him wrongly imprisoned.
16847,Faust: Eine deutsche Volkssage,107,1926,8.1,,12829,,,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.
17075,The Lodger: A Story of the London Fog,68,1927,7.3,,9164,,,A landlady suspects her new lodger is the madman killing women in London.
17136,Metropolis,153,1927,8.3,98,146925,1236166,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
17925,General,67,1926,8.1,,73076,,,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
18037,Pevec Jazza,88,1927,6.5,66,8313,7630000,,The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.
18455,Zarja,94,1927,8.1,,44009,,,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
18578,Wings,144,1927,7.5,,10320,6587502,PG-13,"Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I."
18737,Die Büchse der Pandora,109,1929,7.9,,9045,9950,,The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.
18742,Snemalec,76,1928,8.1,,9391,,,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion picture cameraman to be close to the object of his desire."
18773,The Circus,72,1928,8.2,90,23372,,,The Tramp finds work and the girl of his dreams at a circus.
18806,Množica,98,1928,8.1,,6908,,,"The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls."
19254,La passion de Jeanne d'Arc,110,1928,8.2,,41703,21877,,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
19421,"Steamboat Bill, Jr.",70,1928,7.9,,11895,,,The effete son of a cantankerous riverboat captain comes to join his father's crew.
19702,Nasilstvo,85,1929,7.0,,8804,,,"After killing a man in self-defense, a young woman is blackmailed by a witness to the killing."
20629,All Quiet on the Western Front,136,1930,8.0,91,54019,3270000,,A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
20640,Animal Crackers,97,1930,7.6,,12354,,,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.
20697,Der blaue Engel,104,1930,7.7,88,12607,77982,,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.
21079,Little Caesar,79,1931,7.3,,10952,,,A small-time criminal moves to a big city to seek bigger fortune.
