id,ime
1,Fred Astaire
2,Lauren Bacall
3,Brigitte Bardot
4,John Belushi
5,Ingmar Bergman
6,Ingrid Bergman
7,Humphrey Bogart
8,Marlon Brando
9,Richard Burton
10,James Cagney
11,Gary Cooper
12,Bette Davis
13,Doris Day
14,Olivia de Havilland
15,James Dean
17,Marlene Dietrich
18,Kirk Douglas
19,Federico Fellini
20,Henry Fonda
21,Joan Fontaine
22,Clark Gable
23,Judy Garland
24,John Gielgud
26,Cary Grant
27,Alec Guinness
28,Rita Hayworth
30,Audrey Hepburn
31,Katharine Hepburn
32,Charlton Heston
33,Alfred Hitchcock
34,William Holden
36,Buster Keaton
37,Gene Kelly
38,Grace Kelly
39,Deborah Kerr
40,Stanley Kubrick
41,Akira Kurosawa
42,Alan Ladd
43,Veronica Lake
44,Burt Lancaster
45,Bruce Lee
46,Vivien Leigh
47,Sophia Loren
48,Peter Lorre
50,Groucho Marx
51,James Mason
52,Marcello Mastroianni
53,Robert Mitchum
54,Marilyn Monroe
56,Paul Newman
57,David Niven
58,Maureen O'Hara
59,Laurence Olivier
60,Gregory Peck
61,Tyrone Power
62,Elvis Presley
63,Anthony Quinn
64,Edward G. Robinson
66,Jane Russell
68,Randolph Scott
69,Frank Sinatra
71,James Stewart
72,Elizabeth Taylor
73,Shirley Temple
74,Gene Tierney
75,Spencer Tracy
76,François Truffaut
78,John Wayne
79,Raquel Welch
80,Orson Welles
81,Natalie Wood
84,Li Gong
86,Louis de Funès
90,Armin Mueller-Stahl
91,Gérard Pirès
92,John Cleese
93,Brad Pitt
95,Woody Allen
96,Gillian Anderson
97,Pamela Anderson
98,Jennifer Aniston
99,Patricia Arquette
100,Rowan Atkinson
101,Dan Aykroyd
102,Kevin Bacon
103,Fairuza Balk
104,Antonio Banderas
105,Adrienne Barbeau
106,Drew Barrymore
107,Kim Basinger
108,Luc Besson
109,Yasmine Bleeth
110,Kenneth Branagh
111,Matthew Broderick
112,Pierce Brosnan
113,Sandra Bullock
114,Steve Buscemi
115,Nicolas Cage
116,James Cameron
117,Neve Campbell
118,John Carpenter
119,Tia Carrere
120,Jim Carrey
121,Phoebe Cates
122,Charles Chaplin
123,George Clooney
124,Jennifer Connelly
125,Sean Connery
126,Kevin Costner
127,Wes Craven
128,Russell Crowe
129,Tom Cruise
130,Jamie Lee Curtis
131,John Cusack
132,Claire Danes
133,Geena Davis
134,Robert De Niro
135,John Denver
