film,oseba,vloga,mesto
4972,1273,I,1
4972,550615,I,2
4972,910400,I,3
4972,178270,I,4
4972,428,R,1
6864,1273,I,1
6864,366008,I,2
6864,550615,I,3
6864,877548,I,4
6864,428,R,1
9968,1273,I,1
9968,1932,I,2
9968,187981,I,3
9968,397126,I,4
9968,428,R,1
10323,470328,I,1
10323,891998,I,2
10323,270415,I,3
10323,196820,I,4
10323,927468,R,1
12349,122,I,1
12349,701012,I,2
12349,1067,I,3
12349,588033,I,4
12349,122,R,1
12364,803705,I,1
12364,96737,I,2
12364,841061,I,3
12364,391474,I,4
12364,803705,R,1
13442,775180,I,1
13442,334603,I,2
13442,903194,I,3
13442,775659,I,4
13442,3638,R,1
14341,36,I,1
14341,848231,I,2
14341,444172,I,3
14341,731247,I,4
14341,90007,R,1
14341,36,R,2
14429,516001,I,1
14429,205192,I,2
14429,835128,I,3
14429,949927,I,4
14429,628345,R,1
14429,853130,R,2
15064,417837,I,1
15064,217848,I,2
15064,384897,I,3
15064,476130,I,4
15064,3638,R,1
15163,36,I,1
15163,570230,I,2
15163,89162,I,3
15163,123548,I,4
15163,187981,R,1
15163,36,R,2
15324,36,I,1
15324,570230,I,2
15324,444172,I,3
15324,175068,I,4
15324,36,R,1
15648,31446,I,1
15648,58290,I,2
15648,17893,I,3
15648,90434,I,4
15648,1178,R,1
15864,122,I,1
15864,841501,I,2
15864,615306,I,3
15864,74788,I,4
15864,122,R,1
15881,332998,I,1
15881,686032,I,2
15881,380965,I,3
15881,298202,I,4
15881,2233,R,1
16220,151606,I,1
16220,679907,I,2
16220,449908,I,3
16220,136886,I,4
16220,432216,R,1
16220,151606,R,2
16220,480677,R,3
16220,781292,R,4
16332,36,I,1
16332,245536,I,2
16332,55797,I,3
16332,250366,I,4
16332,36,R,1
16847,252472,I,1
16847,417837,I,2
16847,394806,I,3
16847,723801,I,4
16847,3638,R,1
17075,385062,I,1
17075,637040,I,2
17075,42083,I,3
17075,156241,I,4
17075,33,R,1
17136,375609,I,1
17136,2154,I,2
17136,297054,I,3
17136,459030,I,4
17136,485,R,1
17925,36,I,1
17925,533045,I,2
17925,147070,I,3
17925,267650,I,4
17925,115669,R,1
17925,36,R,2
18037,427231,I,1
18037,564219,I,2
18037,645941,I,3
18037,78806,I,4
18037,189076,R,1
18455,639563,I,1
18455,310980,I,2
18455,515272,I,3
18455,743017,I,4
18455,3638,R,1
18578,1966,I,1
18578,736777,I,2
18578,35159,I,3
18578,707814,I,4
18578,920074,R,1
18578,195496,R,2
18737,315,I,1
18737,466776,I,2
18737,496473,I,3
18737,324501,I,4
18737,655065,R,1
18742,36,I,1
18742,206496,I,2
18742,329467,I,3
18742,102718,I,4
18742,781292,R,1
18742,36,R,2
18773,122,I,1
18773,448224,I,2
18773,305087,I,3
18773,188357,I,4
18773,122,R,1
19254,266029,I,1
19254,798564,I,2
19254,75551,I,3
19254,776914,I,4
19254,3433,R,1
19421,36,I,1
19421,570297,I,2
19421,868458,I,3
19421,507827,I,4
19421,718469,R,1
19421,36,R,2
19702,648565,I,1
19702,519274,I,2
19702,21329,I,3
19702,665715,I,4
19702,33,R,1
20629,817,I,1
20629,938464,I,2
20629,942046,I,3
20629,524803,I,4
20629,587277,R,1
20640,50,I,1
20640,555617,I,2
20640,555597,I,3
20640,2580347,I,4
20640,373511,R,1
20697,417837,I,1
20697,17,I,2
20697,314777,I,3
20697,884665,I,4
20697,903049,R,1
21079,64,I,1
21079,1195,I,2
21079,268225,I,3
21079,171873,I,4
21079,503777,R,1
21577,595321,I,1
