id,naslov,dolzina,leto,ocena,opis
0111161,Kaznilnica odrešitve,142,1994,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
0468569,Vitez teme,152,2008,9.0,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
1375666,Izvor,148,2010,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
0137523,Klub golih pesti,139,1999,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
0110912,Šund,154,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
0109830,Forrest Gump,142,1994,8.8,"The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
0120737,Gospodar prstanov: Bratovscina prstana,178,2001,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
0133093,Matrica,136,1999,8.7,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
0167260,Gospodar prstanov: Kraljeva vrnitev,201,2003,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
0068646,Boter,175,1972,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
1345836,Vzpon Viteza teme,164,2012,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
0167261,Gospodar prstanov: stolpa,179,2002,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
0114369,Sedem,127,1995,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
0816692,Medzvezdje,169,2014,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
0172495,Gladiator,155,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
1853728,Django brez okovov,165,2012,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
0372784,Batman: na začetku,140,2005,8.3,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
0848228,Maščevalci,143,2012,8.1,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
0076759,Vojna zvezd: Epizoda IV - Novo upanje,121,1977,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the evil Darth Vader."
0102926,Ko jagenjčki obmolknejo,118,1991,8.6,"A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
0361748,Neslavne barabe,153,2009,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
0120815,Reševanje vojaka Ryana,169,1998,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
0108052,Schindlerjev seznam,195,1993,8.9,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
0407887,Dvojna igra,151,2006,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
0482571,Skrivnostna sled,130,2006,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
0080684,Vojna zvezd: epizoda V - Imperij vrača udarec,124,1980,8.8,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader."
0499549,Avatar,162,2009,7.8,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
0209144,Memento,113,2000,8.5,A man with short-term memory loss attempts to track down his wife's murderer.
0993846,Volk z Wall Streeta,180,2013,8.2,Based on the true story of
0120689,Zelena milja,189,1999,8.5,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
1130884,Zlovešči otok,138,2010,8.1,"In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane."
0169547,Lepota po ameriško,122,1999,8.4,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
0071562,"Boter, II. del",202,1974,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
0325980,Pirati s Karibov: prekletstvo črnega bisera,143,2003,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
