film,zanr
4972,Drama
4972,History
4972,War
6864,Drama
6864,History
9968,Drama
9968,Romance
10323,Fantasy
10323,Horror
10323,Mystery
12349,Comedy
12349,Drama
12349,Family
12364,Drama
12364,Fantasy
12364,Horror
13442,Fantasy
13442,Horror
14341,Comedy
14341,Romance
14341,Thriller
14429,Action
14429,Comedy
14429,Thriller
15064,Drama
15163,Action
15163,Comedy
15163,Romance
15324,Action
15324,Comedy
15324,Romance
15648,Drama
15648,History
15648,Thriller
15864,Adventure
15864,Comedy
15864,Drama
15881,Drama
15881,Thriller
15881,Western
16220,Horror
16332,Comedy
16332,Romance
16847,Drama
16847,Fantasy
16847,Horror
17075,Crime
17075,Drama
17075,Mystery
17136,Drama
17136,Sci-Fi
17925,Action
17925,Adventure
17925,Comedy
18037,Drama
18037,Music
18037,Musical
18455,Drama
18455,Romance
18578,Drama
18578,Romance
18578,War
18737,Crime
18737,Drama
18737,Romance
18742,Comedy
18742,Drama
18742,Family
18773,Comedy
18773,Romance
19254,Biography
19254,Drama
19254,History
19421,Action
19421,Comedy
19421,Drama
19702,Crime
19702,Thriller
20629,Drama
20629,War
20640,Comedy
20640,Musical
20697,Drama
20697,Music
21079,Action
21079,Crime
21079,Drama
21577,Comedy
21577,Drama
21749,Comedy
21749,Drama
21749,Romance
21814,Drama
21814,Fantasy
21814,Horror
21884,Drama
21884,Horror
21884,Romance
22100,Crime
22100,Mystery
22100,Thriller
22158,Comedy
22158,Musical
22286,Crime
22286,Drama
22835,Horror
22835,Sci-Fi
22913,Drama
22913,Horror
22958,Drama
22958,Romance
23027,Comedy
23027,Musical
23027,Romance
23042,Crime
23042,Drama
23042,Film-Noir
23238,Action
23238,Adventure
23238,Thriller
23245,Fantasy
23245,Horror
23293,Comedy
23293,Horror
23293,Thriller
23427,Action
23427,Crime
23427,Drama
23563,Crime
23563,Horror
23563,Mystery
23622,Comedy
23622,Crime
23622,Romance
23649,Fantasy
23649,Horror
23694,Horror
23969,Comedy
23969,Musical
23969,War
24034,Comedy
24034,Musical
24034,Romance
24184,Horror
24184,Sci-Fi
24188,Horror
24188,Sci-Fi
24216,Adventure
24216,Horror
24216,Sci-Fi
24601,Comedy
24844,Comedy
24844,Drama
24844,Romance
24894,Adventure
24894,Crime
24894,Horror
25316,Comedy
25316,Romance
25452,Crime
25452,Mystery
25452,Thriller
25878,Comedy
