id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,opis
12349,The Kid,68,1921,8.3,,90443,5450000,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
13442,"Nosferatu, simfonija groze",94,1922,8.0,,77975,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
15864,Zlata mrzlica,95,1925,8.2,,85136,5450000,A prospector goes to the Klondike in search of gold and finds it and more.
17136,Metropolis,153,1927,8.3,98,136601,26435,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
17925,General,67,1926,8.2,,68196,,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
21749,Luči velemesta,87,1931,8.5,,138228,19181,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
22100,M - mesto isce morilca,117,1931,8.4,,121443,28877,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
24216,King Kong,100,1933,7.9,90,71806,10000000,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
25316,Zgodilo se je neke noci,105,1934,8.1,87,81390,,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
27977,Moderni časi,87,1936,8.5,96,179725,163245,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
29583,Sneguljčica in sedem škratov,83,1937,7.6,95,156979,184925485,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
31381,V vrtincu,238,1939,8.2,97,254666,198676459,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
31679,Mr. Smith Goes to Washington,129,1939,8.2,73,94304,9600000,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
32138,Čarovnik iz Oza,102,1939,8.0,100,339700,22202612,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
32455,Fantasia,125,1940,7.8,,79678,76408097,A collection of animated interpretations of great works of Western classical music.
32551,The Grapes of Wrath,129,1940,8.1,95,78135,55000,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression."
32553,Veliki diktator,125,1940,8.5,,171326,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
32910,Pinocchio,88,1940,7.5,,109758,84254167,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
32976,Rebecca,130,1940,8.1,,106577,,A self-conscious bride is tormented by the memory of her husband's dead first wife.
