id,ime
2,Lauren Bacall
4,John Belushi
5,Ingmar Bergman
6,Ingrid Bergman
7,Humphrey Bogart
8,Marlon Brando
9,Richard Burton
11,Gary Cooper
12,Bette Davis
15,James Dean
17,Marlene Dietrich
18,Kirk Douglas
19,Federico Fellini
20,Henry Fonda
21,Joan Fontaine
22,Clark Gable
23,Judy Garland
24,John Gielgud
26,Cary Grant
27,Alec Guinness
30,Audrey Hepburn
31,Katharine Hepburn
32,Charlton Heston
33,Alfred Hitchcock
34,William Holden
36,Buster Keaton
37,Gene Kelly
38,Grace Kelly
40,Stanley Kubrick
41,Akira Kurosawa
45,Bruce Lee
46,Vivien Leigh
48,Peter Lorre
51,James Mason
52,Marcello Mastroianni
53,Robert Mitchum
54,Marilyn Monroe
56,Paul Newman
59,Laurence Olivier
60,Gregory Peck
61,Tyrone Power
63,Anthony Quinn
64,Edward G. Robinson
69,Frank Sinatra
71,James Stewart
72,Elizabeth Taylor
76,François Truffaut
78,John Wayne
80,Orson Welles
81,Natalie Wood
84,Li Gong
90,Armin Mueller-Stahl
91,Gérard Pirès
92,John Cleese
93,Brad Pitt
95,Woody Allen
96,Gillian Anderson
97,Pamela Anderson
98,Jennifer Aniston
99,Patricia Arquette
100,Rowan Atkinson
101,Dan Aykroyd
102,Kevin Bacon
103,Fairuza Balk
104,Antonio Banderas
106,Drew Barrymore
107,Kim Basinger
108,Luc Besson
110,Kenneth Branagh
111,Matthew Broderick
112,Pierce Brosnan
113,Sandra Bullock
114,Steve Buscemi
115,Nicolas Cage
116,James Cameron
117,Neve Campbell
118,John Carpenter
119,Tia Carrere
120,Jim Carrey
121,Phoebe Cates
122,Charles Chaplin
123,George Clooney
124,Jennifer Connelly
125,Sean Connery
126,Kevin Costner
127,Wes Craven
128,Russell Crowe
129,Tom Cruise
130,Jamie Lee Curtis
131,John Cusack
132,Claire Danes
133,Geena Davis
134,Robert De Niro
136,Johnny Depp
137,Bo Derek
138,Leonardo DiCaprio
139,Cameron Diaz
140,Michael Douglas
141,David Duchovny
142,Clint Eastwood
143,Erika Eleniak
144,Cary Elwes
146,Ralph Fiennes
147,Colin Firth
148,Harrison Ford
149,Jodie Foster
150,Michael J. Fox
151,Morgan Freeman
152,Richard Gere
154,Mel Gibson
155,Whoopi Goldberg
156,Jeff Goldblum
157,Linda Hamilton
158,Tom Hanks
159,Teri Hatcher
160,Ethan Hawke
161,Salma Hayek
162,Anne Heche
163,Dustin Hoffman
164,Anthony Hopkins
165,Ron Howard
166,Helen Hunt
167,Elizabeth Hurley
168,Samuel L. Jackson
169,Tommy Lee Jones
170,Milla Jovovich
171,Ashley Judd
172,Harvey Keitel
173,Nicole Kidman
174,Val Kilmer
176,Nastassja Kinski
177,Kevin Kline
178,Diane Lane
179,Jude Law
180,David Lean
182,Jennifer Lopez
184,George Lucas
185,Dolph Lundgren
186,David Lynch
187,Madonna
188,Steve Martin
190,Matthew McConaughey
191,Ewan McGregor
193,Demi Moore
194,Julianne Moore
195,Bill Murray
196,Mike Myers
197,Jack Nicholson
198,Gary Oldman
199,Al Pacino
200,Bill Paxton
201,Michelle Pfeiffer
202,Ryan Phillippe
203,River Phoenix
204,Natalie Portman
205,Parker Posey
206,Keanu Reeves
207,Christina Ricci
208,Molly Ringwald
209,Tim Robbins
210,Julia Roberts
211,Mimi Rogers
212,Meg Ryan
213,Winona Ryder
214,Mia Sara
215,Susan Sarandon
216,Arnold Schwarzenegger
217,Martin Scorsese
218,Kristin Scott Thomas
219,Steven Seagal
221,Charlie Sheen
223,Elisabeth Shue
224,Alicia Silverstone
225,Christian Slater
226,Will Smith
228,Kevin Spacey
229,Steven Spielberg
230,Sylvester Stallone
231,Oliver Stone
232,Sharon Stone
233,Quentin Tarantino
234,Charlize Theron
235,Uma Thurman
236,Jennifer Tilly
237,John Travolta
239,Liv Tyler
240,Skeet Ulrich
241,Jean-Claude Van Damme
242,Mark Wahlberg
243,Denzel Washington
244,Sigourney Weaver
245,Robin Williams
246,Bruce Willis
247,John Woo
249,James Woods
250,Renée Zellweger
255,Ben Affleck
256,Jenny Agutter
257,Alan Alda
260,Joan Allen
261,Karen Allen
262,Nancy Allen
263,Kirstie Alley
264,Pedro Almodóvar
265,Robert Altman
266,Ursula Andress
267,Julie Andrews
269,Jean-Jacques Annaud
270,Gabrielle Anwar
271,Anne Archer
272,Fanny Ardant
273,Alan Arkin
274,David Arquette
275,Rosanna Arquette
276,Sean Astin
277,Richard Attenborough
279,Hank Azaria
284,Adam Baldwin
285,Alec Baldwin
286,Stephen Baldwin
287,William Baldwin
288,Christian Bale
291,Angela Bassett
293,Sean Bean
295,Kate Beckinsale
297,Tom Berenger
298,Candice Bergen
299,Michael Biehn
300,Juliette Binoche
301,Thora Birch
303,Honor Blackman
304,Linda Blair
305,Mel Blanc
306,Brian Blessed
307,Helena Bonham Carter
308,Ernest Borgnine
309,David Bowie
310,Bruce Boxleitner
313,Jeff Bridges
314,Charles Bronson
316,Mel Brooks
317,Clancy Brown
318,Tim Burton
321,Gabriel Byrne
322,Emmanuelle Béart
323,Michael Caine
326,Kim Cattrall
329,Jackie Chan
330,Stockard Channing
331,Chevy Chase
332,Don Cheadle
333,Cher
334,Yun-Fat Chow
335,Glenn Close
336,James Coburn
337,Rachael Leigh Cook
338,Francis Ford Coppola
341,Michael Crichton
342,James Cromwell
343,David Cronenberg
344,Denise Crosby
345,Billy Crystal
346,Macaulay Culkin
347,Tim Curry
348,Tony Curtis
349,Joan Cusack
350,Beverly D'Angelo
352,Vincent D'Onofrio
353,Willem Dafoe
354,Matt Damon
358,Daniel Day-Lewis
360,Rebecca De Mornay
361,Brian De Palma
362,Danny DeVito
365,Julie Delpy
366,Catherine Deneuve
367,Gérard Depardieu
368,Laura Dern
369,Matt Dillon
370,Walt Disney
372,Amanda Donohoe
374,Brad Dourif
375,Robert Downey Jr.
377,Richard Dreyfuss
378,Minnie Driver
379,Kirsten Dunst
380,Robert Duvall
381,Anthony Edwards
382,Atom Egoyan
383,Jennifer Ehle
384,Danny Elfman
385,Sam Elliott
386,Roland Emmerich
387,Robert Englund
388,R. Lee Ermey
389,Emilio Estevez
391,Rupert Everett
394,Chris Farley
397,Corey Feldman
398,Sally Field
399,David Fincher
400,Linda Fiorentino
401,Laurence Fishburne
402,Carrie Fisher
403,Bridget Fonda
404,Jane Fonda
406,John Ford
408,Jonathan Frakes
409,Brendan Fraser
411,Edward Furlong
412,Andy Garcia
414,Teri Garr
415,Jami Gertz
416,Terry Gilliam
417,Crispin Glover
418,Danny Glover
419,Jean-Luc Godard
420,Valeria Golino
421,Cuba Gooding Jr.
422,John Goodman
424,Hugh Grant
426,Jennifer Grey
427,Pam Grier
430,Steve Guttenberg
431,Taylor Hackford
432,Gene Hackman
433,Corey Haim
434,Mark Hamill
435,Daryl Hannah
436,Curtis Hanson
437,Woody Harrelson
438,Ed Harris
439,Neil Patrick Harris
441,Noah Hathaway
442,Rutger Hauer
443,Goldie Hawn
445,Dan Hedaya
446,Mariel Hemingway
448,Lance Henriksen
449,Natasha Henstridge
450,Philip Seymour Hoffman
451,Gaby Hoffmann
452,Lauren Holly
453,Ian Holm
454,Dennis Hopper
455,John Hughes
456,Holly Hunter
457,John Hurt
458,William Hurt
459,Timothy Hutton
460,Jeremy Irons
461,Michael Ironside
463,Famke Janssen
464,Jim Jarmusch
466,Jean-Pierre Jeunet
468,Lynn-Holly Johnson
469,James Earl Jones
470,Jeffrey Jones
471,Raul Julia
473,Diane Keaton
474,Michael Keaton
475,Patsy Kensit
480,Elias Koteas
483,Christopher Lambert
484,John Landis
485,Fritz Lang
486,Heather Langenkamp
487,Ang Lee
488,Brandon Lee
489,Christopher Lee
490,Spike Lee
491,John Leguizamo
492,Jennifer Jason Leigh
493,Jack Lemmon
494,Robert Sean Leonard
495,Téa Leoni
496,Juliette Lewis
497,Jennifer Lien
498,Matthew Lillard
500,Richard Linklater
501,Ray Liotta
502,Christopher Lloyd
505,Nia Long
506,Julia Louis-Dreyfus
507,Rob Lowe
508,Carey Lowell
510,Andie MacDowell
511,Shirley MacLaine
512,Elle Macpherson
513,William H. Macy
514,Michael Madsen
515,Virginia Madsen
517,Terrence Malick
518,John Malkovich
520,Michael Mann
521,Sophie Marceau
523,Julianna Margulies
525,Heather Matarazzo
526,Samantha Mathis
527,Walter Matthau
529,Debi Mazar
531,Frances McDormand
532,Malcolm McDowell
534,Kelly McGillis
535,Rose McGowan
537,Steve McQueen
538,Colm Meaney
539,Dina Meyer
541,Bette Midler
542,Penelope Ann Miller
543,Sal Mineo
545,Helen Mirren
546,Matthew Modine
547,Alfred Molina
549,Roger Moore
551,Dermot Mulroney
552,Eddie Murphy
553,Liam Neeson
554,Sam Neill
555,Judd Nelson
556,Olivia Newton-John
558,Leslie Nielsen
559,Leonard Nimoy
560,Nick Nolte
562,Jeremy Northam
563,Chris O'Donnell
564,Peter O'Toole
565,Lena Olin
566,Julia Ormond
568,Frank Oz
569,Gwyneth Paltrow
570,Alan Parker
571,Mary-Louise Parker
572,Sarah Jessica Parker
574,Jason Patric
576,Sean Penn
577,George Peppard
578,Anthony Perkins
579,Ron Perlman
581,Joseph L. Mankiewicz
582,Joe Pesci
583,Wolfgang Petersen
586,Jada Pinkett Smith
587,Donald Pleasence
591,Roman Polanski
592,Pete Postlethwaite
593,Kelly Preston
596,Jonathan Pryce
597,Bill Pullman
598,Dennis Quaid
599,Kathleen Quinlan
600,Sam Raimi
601,Harold Ramis
602,Robert Redford
603,Vanessa Redgrave
604,John C. Reilly
605,Brad Renfro
606,Jean Reno
608,Burt Reynolds
609,Ving Rhames
610,Giovanni Ribisi
612,Denise Richards
613,Joely Richardson
614,Alan Rickman
615,John Ritter
617,Tanya Roberts
618,Isabella Rossellini
619,Tim Roth
620,Mickey Rourke
621,Kurt Russell
623,Rene Russo
624,Laura San Giacomo
630,Liev Schreiber
631,Ridley Scott
632,Jerry Seinfeld
633,Tom Selleck
634,Peter Sellers
638,William Shatner
639,Ally Sheedy
640,Martin Sheen
641,Gary Sinise
643,Tom Skerritt
648,Wesley Snipes
650,Talisa Soto
651,Sissy Spacek
652,James Spader
653,Brent Spiner
654,Terence Stamp
655,Eric Stoltz
656,Madeleine Stowe
657,David Strathairn
658,Meryl Streep
660,Tami Stronach
661,Donald Sutherland
662,Kiefer Sutherland
664,Patrick Swayze
666,Lili Taylor
667,David Thewlis
668,Emma Thompson
669,Fred Dalton Thompson
670,Lea Thompson
671,Billy Bob Thornton
673,Marisa Tomei
675,Jeanne Tripplehorn
676,Chris Tucker
677,Robin Tunney
678,Kathleen Turner
679,Deborah Kara Unger
680,Casper Van Dien
681,Vince Vaughn
682,Paul Verhoeven
683,Gore Vidal
685,Jon Voight
686,Christopher Walken
687,J.T. Walsh
688,Sela Ward
690,Lesley Ann Warren
693,Peter Weller
694,Wim Wenders
695,Joanne Whalley
696,Wil Wheaton
697,Billy Wilder
698,Gene Wilder
699,Michael Wincott
701,Kate Winslet
702,Reese Witherspoon
703,BD Wong
704,Elijah Wood
705,Robin Wright
706,Michelle Yeoh
707,Sean Young
708,Billy Zane
709,Robert Zemeckis
717,Kareem Abdul-Jabbar
718,Ian Abercrombie
719,F. Murray Abraham
720,Jim Abrahams
725,Joey Lauren Adams
726,Maud Adams
729,Casey Affleck
732,Danny Aiello
733,Anouk Aimée
734,Eddie Albert
737,Jane Alexander
741,Tim Allen
744,Maria Conchita Alonso
746,Trini Alvarado
747,Don Ameche
749,Mädchen Amick
750,Jon Amiel
752,Judith Anderson
759,Paul Thomas Anderson
761,Bibi Andersson
768,Francesca Annis
775,Christina Applegate
776,Michael Apted
782,Asia Argento
786,George Armitage
792,Tom Arnold
795,Jean Arthur
796,Dana Ashbrook
797,Hal Ashby
798,Linden Ashby
799,Edward Asner
800,Armand Assante
801,Olivier Assayas
802,Mary Astor
805,Claudine Auger
809,Daniel Auteuil
814,John G. Avildsen
816,Jon Avnet
819,Barbara Bach
