film,oseba,vloga
12349,122,igralec
12349,122,reziser
12349,1067,igralec
12349,588033,igralec
12349,701012,igralec
13442,3638,reziser
13442,334603,igralec
13442,775180,igralec
13442,775659,igralec
13442,903194,igralec
15864,122,igralec
15864,122,reziser
15864,74788,igralec
15864,615306,igralec
15864,841501,igralec
17136,485,reziser
17136,2154,igralec
17136,297054,igralec
17136,375609,igralec
17136,459030,igralec
17925,36,igralec
17925,36,reziser
17925,115669,reziser
17925,147070,igralec
17925,267650,igralec
17925,533045,igralec
21749,122,igralec
21749,122,reziser
21749,156039,igralec
21749,616729,igralec
21749,5681967,igralec
22100,48,igralec
22100,485,reziser
22100,484737,igralec
22100,921532,igralec
22100,927145,igralec
24216,35877,igralec
24216,127677,igralec
24216,178260,reziser
24216,717046,igralec
24216,774325,reziser
24216,942039,igralec
25316,22,igralec
25316,1008,reziser
25316,1055,igralec
25316,175369,igralec
25316,439850,igralec
27977,122,igralec
27977,122,reziser
27977,2104,igralec
27977,74788,igralec
27977,761866,igralec
29583,41165,igralec
29583,143314,igralec
29583,183183,reziser
29583,359457,reziser
29583,414144,reziser
29583,479164,igralec
29583,604392,reziser
29583,668998,reziser
29583,789313,reziser
29583,830968,igralec
31381,22,igralec
31381,46,igralec
31381,2030,reziser
31381,281808,reziser
31381,593775,igralec
31381,641966,igralec
31381,939992,reziser
31679,71,igralec
31679,795,igralec
31679,1008,reziser
31679,1647,igralec
31679,36427,igralec
32138,23,igralec
32138,1961,igralec
32138,2030,reziser
32138,281808,reziser
32138,481618,igralec
32138,503777,reziser
32138,604656,igralec
32138,851537,reziser
32138,896542,reziser
32455,370,igralec
32455,19282,reziser
32455,35899,reziser
32455,123553,igralec
32455,272568,reziser
32455,359457,reziser
32455,359610,reziser
32455,373429,reziser
32455,414144,reziser
32455,527217,reziser
32455,730860,reziser
32455,766402,reziser
32455,789313,reziser
32455,831439,igralec
32455,852252,igralec
32455,1968474,reziser
32551,20,igralec
32551,406,reziser
32551,1017,igralec
32551,2034,igralec
32551,335788,igralec
32553,122,igralec
32553,122,reziser
32553,2104,igralec
32553,306786,igralec
32553,642988,igralec
32910,305,igralec
32910,110893,igralec
32910,272568,reziser
32910,373429,reziser
32910,414144,reziser
32910,427934,igralec
32910,455741,reziser
32910,527217,reziser
32910,730860,reziser
32910,747759,igralec
32910,789313,reziser
32976,21,igralec
32976,33,reziser
32976,59,igralec
32976,752,igralec
32976,1695,igralec
33467,80,igralec
33467,80,reziser
33467,1072,igralec
33467,1547,igralec
33467,173827,igralec
33563,1359,igralec
33563,35899,reziser
33563,59934,igralec
33563,82884,igralec
33563,112395,igralec
33563,254675,reziser
33563,272568,reziser
33563,414144,reziser
33563,455741,reziser
33563,730860,reziser
33563,789313,reziser
33870,7,igralec
33870,48,igralec
33870,802,igralec
33870,1379,reziser
33870,313438,igralec
34492,17013,igralec
34492,18755,igralec
34492,19282,reziser
34492,35899,reziser
34492,66951,igralec
34492,359457,reziser
34492,373871,reziser
34492,730860,reziser
34492,766402,reziser
34492,942687,reziser
34492,1027883,igralec
34583,6,igralec
34583,7,igralec
34583,1647,igralec
34583,2031,reziser
34583,2134,igralec
35423,212,igralec
35423,630,igralec
35423,3506,reziser
35423,5227,igralec
35423,413168,igralec
36775,64,igralec
36775,697,reziser
36775,1766,igralec
36775,56477,igralec
36775,534045,igralec
38355,2,igralec
38355,7,igralec
38355,1328,reziser
38355,725891,igralec
38355,896015,igralec
38650,71,igralec
38650,859,igralec
38650,1008,reziser
38650,1656,igralec
38650,593775,igralec
38787,6,igralec
38787,26,igralec
38787,33,reziser
38787,1647,igralec
38787,129894,igralec
40522,1120,reziser
40522,22821,igralec
40522,136794,igralec
40522,536009,igralec
40522,821543,igralec
40746,33,reziser
40746,71,igralec
40746,197982,igralec
40746,335048,igralec
40746,389516,igralec
40897,7,igralec
40897,1379,reziser
40897,71636,igralec
40897,392529,igralec
40897,404158,igralec
41959,80,igralec
41959,1072,igralec
41959,2145,igralec
41959,715346,reziser
41959,885098,igralec
42192,12,igralec
42192,581,reziser
42192,879,igralec
42192,1695,igralec
42192,2141,igralec
42332,41598,igralec
42332,271658,igralec
42332,314671,reziser
42332,414144,reziser
42332,527217,reziser
42332,531763,igralec
42332,940627,igralec
42876,41,reziser
42876,1536,igralec
42876,477553,igralec
42876,605270,igralec
42876,793766,igralec
43014,34,igralec
43014,697,reziser
43014,2233,igralec
43014,647970,igralec
43014,841797,igralec
43265,7,igralec
43265,31,igralec
43265,1379,reziser
43265,119988,igralec
43265,605923,igralec
43274,1359,igralec
43274,64607,igralec
43274,314671,reziser
43274,370821,igralec
43274,414144,reziser
43274,527217,reziser
43274,943956,igralec
43456,415488,igralec
43456,549280,igralec
43456,623658,igralec
43456,719692,igralec
43456,936404,reziser
44079,33,reziser
44079,1991,igralec
44079,335048,igralec
44079,738746,igralec
44079,908153,igralec
44081,8,igralec
44081,46,igralec
44081,1375,igralec
44081,1415,reziser
44081,1500,igralec
44706,11,igralec
44706,38,igralec
44706,978,igralec
44706,3593,reziser
44706,593775,igralec
45152,37,igralec
45152,37,reziser
45152,1666,igralec
45152,2045,reziser
45152,353405,igralec
45152,640307,igralec
46183,64607,igralec
46183,175788,igralec
46183,237985,igralec
46183,314671,reziser
46183,414144,reziser
46183,455741,reziser
46183,527217,reziser
46183,859892,igralec
46250,30,igralec
46250,60,igralec
46250,734,igralec
46250,694403,igralec
46250,943758,reziser
46912,33,reziser
46912,38,igralec
46912,1537,igralec
46912,2369,igralec
46912,191950,igralec
47296,8,igralec
47296,1415,reziser
47296,1500,igralec
47296,1768,igralec
47296,2011,igralec
47396,33,reziser
47396,38,igralec
47396,71,igralec
47396,179819,igralec
47396,728812,igralec
47478,41,reziser
47478,1536,igralec
47478,793616,igralec
47478,793766,igralec
47478,875477,igralec
48280,314671,reziser
48280,414144,reziser
48280,498007,igralec
48280,524853,igralec
48280,527217,reziser
48280,731333,igralec
48280,859892,igralec
48424,53,igralec
48424,1273,igralec
48424,1452,reziser
48424,1859,igralec
48424,322299,igralec
48545,15,igralec
48545,81,igralec
48545,543,igralec
48545,822,igralec
48545,712947,reziser
49406,40,reziser
49406,1330,igralec
49406,250436,igralec
49406,282435,igralec
49406,336531,igralec
49730,78,igralec
49730,406,reziser
49730,955,igralec
49730,1374,igralec
49730,587256,igralec
50083,20,igralec
50083,842,igralec
50083,1486,reziser
50083,2011,igralec
50083,275835,igralec
50212,27,igralec
50212,34,igralec
50212,180,reziser
50212,370144,igralec
50212,370564,igralec
50825,18,igralec
50825,40,reziser
50825,534317,igralec
50825,576127,igralec
50825,579663,igralec
50976,5,reziser
50976,1884,igralec
50976,85038,igralec
50976,252345,igralec
50976,691555,igralec
50986,5,reziser
50986,761,igralec
50986,85038,igralec
50986,803705,igralec
50986,862026,igralec
51201,17,igralec
51201,61,igralec
51201,697,reziser
51201,1452,igralec
51201,6471,igralec
52311,32,igralec
52311,80,igralec
52311,80,reziser
52311,1463,igralec
52311,130407,igralec
52357,33,reziser
52357,71,igralec
52357,895,igralec
52357,1571,igralec
52357,375738,igralec
52618,32,igralec
52618,963,igralec
52618,361823,igralec
52618,370144,igralec
52618,943758,reziser
53125,26,igralec
53125,33,reziser
53125,51,igralec
53125,1693,igralec
53125,484829,igralec
53198,76,reziser
53198,213948,igralec
53198,529543,igralec
53198,561158,igralec
53198,753716,igralec
53285,41598,igralec
53285,182250,igralec
53285,271658,igralec
53285,314671,reziser
53285,794301,igralec
53291,54,igralec
53291,348,igralec
53291,493,igralec
53291,697,reziser
53291,706368,igralec
53472,419,reziser
53472,901,igralec
53472,99429,igralec
53472,400142,igralec
53472,781029,igralec
53604,493,igralec
53604,511,igralec
53604,697,reziser
53604,1827,igralec
53604,534045,igralec
54047,314,igralec
54047,537,igralec
54047,989,igralec
54047,836328,reziser
