film,zanr
12349,Comedy
12349,Drama
12349,Family
13442,Fantasy
13442,Horror
15864,Adventure
15864,Comedy
15864,Drama
17136,Drama
17136,Sci-Fi
17925,Action
17925,Adventure
17925,Comedy
21749,Comedy
21749,Drama
21749,Romance
22100,Crime
22100,Mystery
22100,Thriller
24216,Adventure
24216,Horror
24216,Sci-Fi
25316,Comedy
25316,Romance
27977,Comedy
27977,Drama
27977,Family
29583,Animation
29583,Family
29583,Fantasy
31381,Drama
31381,History
31381,Romance
31679,Comedy
31679,Drama
32138,Adventure
32138,Family
32138,Fantasy
32455,Animation
32455,Family
32455,Fantasy
32551,Drama
32551,History
32553,Comedy
32553,Drama
32553,War
32910,Animation
32910,Comedy
32910,Family
32976,Drama
32976,Mystery
32976,Romance
33467,Drama
33467,Mystery
33563,Animation
33563,Drama
33563,Family
33870,Film-Noir
33870,Mystery
34492,Animation
34492,Drama
34492,Family
34583,Drama
34583,Romance
34583,War
35423,Comedy
35423,Fantasy
35423,Romance
36775,Crime
36775,Drama
36775,Film-Noir
38355,Crime
38355,Film-Noir
38355,Mystery
38650,Drama
38650,Family
38650,Fantasy
38787,Drama
38787,Film-Noir
38787,Romance
40522,Drama
40746,Crime
40746,Drama
40746,Mystery
40897,Adventure
40897,Drama
40897,Western
41959,Film-Noir
41959,Mystery
41959,Thriller
42192,Drama
42332,Animation
42332,Family
42332,Fantasy
42876,Crime
42876,Drama
42876,Mystery
43014,Drama
43014,Film-Noir
43265,Adventure
43265,Drama
43265,Romance
43274,Adventure
43274,Animation
43274,Family
43456,Drama
43456,Sci-Fi
44079,Crime
44079,Film-Noir
44079,Thriller
44081,Drama
44706,Action
44706,Drama
44706,Thriller
45152,Comedy
45152,Musical
45152,Romance
46183,Adventure
46183,Animation
46183,Family
46250,Comedy
46250,Romance
46912,Crime
46912,Thriller
47296,Crime
47296,Drama
47296,Thriller
47396,Mystery
47396,Thriller
47478,Adventure
47478,Drama
48280,Adventure
48280,Animation
48280,Comedy
48424,Crime
48424,Drama
48424,Film-Noir
48545,Drama
49406,Crime
49406,Drama
49406,Film-Noir
49730,Adventure
49730,Drama
49730,Western
50083,Crime
50083,Drama
50212,Adventure
50212,Drama
50212,War
50825,Drama
50825,War
50976,Drama
50976,Fantasy
50986,Drama
50986,Romance
51201,Crime
51201,Drama
51201,Mystery
52311,Crime
52311,Drama
52311,Film-Noir
52357,Mystery
52357,Romance
52357,Thriller
52618,Adventure
52618,Drama
52618,History
53125,Adventure
53125,Mystery
53125,Thriller
53198,Crime
53198,Drama
53285,Animation
53285,Family
53285,Fantasy
53291,Comedy
53291,Romance
53472,Crime
53472,Drama
53604,Comedy
53604,Drama
53604,Romance
54047,Action
54047,Adventure
54047,Western
54215,Horror
54215,Mystery
54215,Thriller
54331,Adventure
54331,Biography
54331,Drama
54698,Comedy
54698,Drama
54698,Romance
54997,Drama
54997,Sport
55254,Adventure
55254,Animation
55254,Comedy
55614,Crime
55614,Drama
55614,Musical
55630,Action
55630,Drama
55630,Thriller
55928,Action
55928,Adventure
55928,Thriller
56172,Adventure
56172,Biography
56172,Drama
56193,Crime
56193,Drama
56193,Romance
56218,Drama
56218,Thriller
56592,Crime
56592,Drama
56801,Drama
56869,Drama
56869,Horror
56869,Mystery
57012,Comedy
57076,Action
57076,Adventure
57076,Thriller
57115,Adventure
57115,Drama
57115,History
57546,Adventure
57546,Animation
57546,Comedy
58150,Action
58150,Adventure
58150,Thriller
58331,Comedy
58331,Family
58331,Fantasy
58385,Drama
58385,Family
58385,Musical
58461,Western
59113,Drama
59113,Romance
59113,War
59578,Western
59742,Biography
59742,Drama
59742,Family
59800,Action
59800,Adventure
59800,Thriller
60196,Western
60827,Drama
60827,Thriller
61184,Drama
61418,Action
61418,Biography
61418,Crime
61512,Crime
61512,Drama
61722,Comedy
61722,Drama
61722,Romance
61852,Adventure
61852,Animation
61852,Family
62512,Action
62512,Adventure
62512,Thriller
62622,Adventure
62622,Sci-Fi
63350,Horror
63442,Adventure
63442,Sci-Fi
63522,Drama
63522,Horror
64115,Biography
64115,Crime
64115,Drama
64116,Western
64276,Adventure
64276,Drama
64665,Drama
64757,Action
64757,Adventure
64757,Thriller
65214,Action
65214,Adventure
65214,Western
65421,Adventure
65421,Animation
65421,Comedy
66206,Biography
66206,Drama
66206,War
66921,Crime
66921,Drama
66921,Sci-Fi
66995,Action
66995,Adventure
66995,Thriller
66999,Action
66999,Crime
66999,Thriller
67116,Action
67116,Crime
67116,Drama
67185,Comedy
67185,Drama
67185,Romance
67992,Family
67992,Fantasy
67992,Musical
68473,Adventure
68473,Drama
68473,Thriller
68646,Crime
68646,Drama
69293,Drama
69293,Mystery
69293,Sci-Fi
69704,Comedy
69704,Drama
70034,Action
70034,Crime
70034,Drama
70047,Horror
70328,Action
70328,Adventure
70328,Thriller
70379,Crime
70379,Drama
70379,Thriller
70511,Biography
70511,Crime
70511,Drama
70608,Adventure
70608,Animation
70608,Comedy
70666,Biography
70666,Crime
70666,Drama
70735,Comedy
70735,Crime
70735,Drama
71230,Comedy
71230,Western
71315,Drama
71315,Mystery
71315,Thriller
71360,Drama
71360,Mystery
71360,Thriller
71562,Crime
71562,Drama
71807,Action
71807,Adventure
71807,Thriller
71853,Adventure
71853,Comedy
71853,Fantasy
72271,Horror
72431,Comedy
72684,Adventure
72684,Drama
72684,History
72890,Biography
72890,Crime
72890,Drama
73195,Adventure
73195,Drama
73195,Thriller
73486,Drama
73629,Comedy
73629,Musical
74119,Biography
74119,Drama
74119,History
74285,Horror
74486,Horror
74958,Drama
75005,Horror
75148,Drama
75148,Sport
75314,Crime
75314,Drama
75686,Comedy
75686,Romance
75860,Drama
75860,Sci-Fi
76666,Drama
76666,Music
76752,Action
76752,Adventure
76752,Thriller
76759,Action
76759,Adventure
76759,Fantasy
77402,Horror
77402,Thriller
77416,Drama
77416,War
77631,Musical
77631,Romance
77651,Horror
77651,Thriller
77928,Biography
77928,Crime
77928,Drama
77975,Comedy
78346,Action
78346,Adventure
78346,Drama
78748,Horror
78748,Sci-Fi
78788,Drama
78788,War
79116,Biography
79116,Crime
79116,Drama
79417,Drama
79470,Comedy
79501,Action
79501,Adventure
79501,Sci-Fi
79522,Comedy
79522,Drama
79522,Romance
79574,Action
79574,Adventure
79574,Sci-Fi
79817,Drama
79817,Sport
79944,Drama
79944,Sci-Fi
79945,Adventure
79945,Mystery
79945,Sci-Fi
80120,Action
80120,Crime
80120,Thriller
80339,Comedy
80455,Adventure
80455,Comedy
80455,Crime
80487,Comedy
80487,Sport
80678,Biography
80678,Drama
80684,Action
80684,Adventure
80684,Fantasy
80761,Horror
80761,Mystery
80761,Thriller
81398,Biography
81398,Drama
81398,Sport
81505,Drama
81505,Horror
81573,Action
81573,Adventure
81573,Sci-Fi
82010,Comedy
82010,Horror
82096,Adventure
82096,Drama
82096,Thriller
82198,Adventure
82198,Fantasy
82340,Action
82340,Sci-Fi
82398,Action
82398,Adventure
82398,Thriller
82406,Adventure
82406,Animation
82406,Drama
82694,Action
82694,Adventure
82694,Sci-Fi
82971,Action
82971,Adventure
83658,Sci-Fi
83658,Thriller
83866,Family
83866,Sci-Fi
83907,Horror
83929,Comedy
83929,Drama
83944,Action
83944,Adventure
83987,Biography
83987,Drama
83987,History
84503,Animation
84503,Drama
