id,naslov,leto,dolzina,ocena,opis
111161,The Shawshank Redemption,1994,142,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
468569,The Dark Knight,2008,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice."
1375666,Inception,2010,148,8.8,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
137523,Fight Club,1999,139,8.8,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more."
110912,Pulp Fiction,1994,154,8.9,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
109830,Forrest Gump,1994,142,8.8,"Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him."
120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.
133093,The Matrix,1999,136,8.7,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
167260,The Lord of the Rings: The Return of the King,2003,201,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
68646,The Godfather,1972,175,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
1345836,The Dark Knight Rises,2012,164,8.5,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Catwoman, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
167261,The Lord of the Rings: The Two Towers,2002,179,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
114369,Se7en,1995,127,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
848228,The Avengers,2012,143,8.1,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
172495,Gladiator,2000,155,8.5,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge."
372784,Batman Begins,2005,140,8.3,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it."
1853728,Django Unchained,2012,165,8.5,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
816692,Interstellar,2014,169,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
76759,Star Wars: Episode IV - A New Hope,1977,121,8.7,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader."
102926,The Silence of the Lambs,1991,118,8.6,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
361748,Inglourious Basterds,2009,153,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
499549,Avatar,2009,162,7.9,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
120815,Saving Private Ryan,1998,169,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
407887,The Departed,2006,151,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
108052,Schindler's List,1993,195,8.9,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
209144,Memento,2000,113,8.5,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.
482571,The Prestige,2006,130,8.5,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
80684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.8,"After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke."
169547,American Beauty,1999,122,8.4,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
120338,Titanic,1997,194,7.7,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
434409,V for Vendetta,2005,132,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
71562,The Godfather: Part II,1974,202,9.0,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba."
1130884,Shutter Island,2010,138,8.1,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
993846,The Wolf of Wall Street,2013,180,8.2,Based on the true story of
120689,The Green Mile,1999,189,8.5,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
120586,American History X,1998,119,8.6,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
103064,Terminator 2: Judgment Day,1991,137,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her young son, John Connor, from a more advanced cyborg, made out of liquid metal."
114814,The Usual Suspects,1995,106,8.6,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
112573,Braveheart,1995,178,8.4,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
266697,Kill Bill: Vol. 1,2003,111,8.1,The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.
88763,Back to the Future,1985,116,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
99685,Goodfellas,1990,146,8.7,Henry Hill and his friends work their way up through the mob hierarchy.
110413,Léon: The Professional,1994,110,8.6,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
910970,WALL·E,2008,98,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
167404,The Sixth Sense,1999,107,8.1,A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.
1392170,The Hunger Games,2012,142,7.3,"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
371746,Iron Man,2008,126,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
266543,Finding Nemo,2003,100,8.2,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
2015381,Guardians of the Galaxy,2014,121,8.1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
86190,Star Wars: Episode VI - Return of the Jedi,1983,131,8.4,"After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader return from the dark side of the Force."
73486,One Flew Over the Cuckoo's Nest,1975,133,8.7,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
120382,The Truman Show,1998,103,8.1,An insurance salesman/adjuster discovers his entire life is actually a television show.
338013,Eternal Sunshine of the Spotless Mind,2004,108,8.3,"When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with."
1049413,Up,2009,96,8.3,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
105236,Reservoir Dogs,1992,99,8.4,"After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
82971,Raiders of the Lost Ark,1981,115,8.5,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.
401792,Sin City,2005,124,8.1,"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption."
110357,The Lion King,1994,89,8.5,Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.
1010048,Slumdog Millionaire,2008,120,8.0,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
903624,The Hobbit: An Unexpected Journey,2012,169,7.9,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug."
114709,Toy Story,1995,81,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
107290,Jurassic Park,1993,127,8.1,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok."
477348,No Country for Old Men,2007,122,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
268978,A Beautiful Mind,2001,135,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
81505,The Shining,1980,146,8.4,"A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
119217,Good Will Hunting,1997,126,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
416449,300,2006,117,7.7,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
208092,Snatch,2000,102,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
88247,The Terminator,1984,107,8.1,"A human-looking indestructible cyborg is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."
95016,Die Hard,1988,131,8.2,"John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
198781,"Monsters, Inc.",2001,92,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
1454468,Gravity,2013,91,7.8,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.
1119646,The Hangover,2009,100,7.8,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
246578,Donnie Darko,2001,113,8.1,"A troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes, after narrowly escaping a bizarre accident."
2488496,Star Wars: The Force Awakens,2015,138,8.2,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
2267998,Gone Girl,2014,149,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
180093,Requiem for a Dream,2000,102,8.4,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
78748,Alien,1979,117,8.5,"After a space merchant vessel perceives an unknown transmission as distress call, their landing on the source moon finds one of the crew attacked by a mysterious lifeform. Continuing their journey back to Earth with the attacked crew having recovered and the critter deceased, they soon realize that its life cycle has merely begun."
1392190,Mad Max: Fury Road,2015,120,8.1,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
1205489,Gran Torino,2008,116,8.2,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
66921,A Clockwork Orange,1971,136,8.3,"In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan."
1300854,Iron Man 3,2013,130,7.2,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
947798,Black Swan,2010,108,8.0,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity."
770828,Man of Steel,2013,143,7.1,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
435761,Toy Story 3,2010,103,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
145487,Spider-Man,2002,121,7.3,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
118715,The Big Lebowski,1998,117,8.2,"""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
86250,Scarface,1983,170,8.3,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
800369,Thor,2011,115,7.0,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
