film,oseba,vloga
111161,0001104,reziser
111161,0000209,igralec
111161,0000151,igralec
111161,0348409,igralec
111161,0006669,igralec
468569,0634240,reziser
468569,0000288,igralec
468569,0005132,igralec
468569,0001173,igralec
468569,0000323,igralec
1375666,0634240,reziser
1375666,0000138,igralec
1375666,0330687,igralec
1375666,0680983,igralec
1375666,0913822,igralec
137523,0000399,reziser
137523,0000093,igralec
137523,0001570,igralec
137523,0001533,igralec
137523,0340260,igralec
110912,0000233,reziser
110912,0000237,igralec
110912,0000235,igralec
110912,0000168,igralec
110912,0000246,igralec
109830,0000709,reziser
109830,0000158,igralec
109830,0000705,igralec
109830,0000641,igralec
109830,0000398,igralec
120737,0001392,reziser
120737,0000704,igralec
120737,0005212,igralec
120737,0089217,igralec
120737,0000293,igralec
133093,0905154,reziser
133093,0905152,reziser
133093,0000206,igralec
133093,0000401,igralec
133093,0005251,igralec
133093,0915989,igralec
167260,0001392,reziser
167260,0000704,igralec
167260,0001557,igralec
167260,0005212,igralec
167260,0089217,igralec
68646,0000338,reziser
68646,0000008,igralec
68646,0000199,igralec
68646,0001001,igralec
68646,0000473,igralec
1345836,0634240,reziser
1345836,0000288,igralec
1345836,0362766,igralec
1345836,0004266,igralec
1345836,0000198,igralec
167261,0001392,reziser
167261,0000704,igralec
167261,0005212,igralec
167261,0001557,igralec
167261,0089217,igralec
114369,0000399,reziser
114369,0000151,igralec
114369,0000093,igralec
114369,0000228,igralec
114369,0001825,igralec
848228,0923736,reziser
848228,0000375,igralec
848228,0262635,igralec
848228,0424060,igralec
848228,0719637,igralec
172495,0000631,reziser
172495,0000128,igralec
172495,0001618,igralec
172495,0001567,igralec
172495,0001657,igralec
372784,0634240,reziser
372784,0000288,igralec
372784,0000323,igralec
372784,0913822,igralec
372784,0000553,igralec
1853728,0000233,reziser
1853728,0004937,igralec
1853728,0910607,igralec
1853728,0000138,igralec
1853728,0913488,igralec
816692,0634240,reziser
816692,0000190,igralec
816692,0004266,igralec
816692,1567113,igralec
816692,3237775,igralec
76759,0000184,reziser
76759,0000434,igralec
76759,0000148,igralec
76759,0000402,igralec
76759,0000027,igralec
102926,0001129,reziser
102926,0000149,igralec
102926,0000164,igralec
102926,0095029,igralec
102926,0501435,igralec
361748,0000233,reziser
361748,0744834,reziser
361748,0000093,igralec
361748,1208167,igralec
361748,0744834,igralec
361748,0491259,igralec
499549,0000116,reziser
499549,0941777,igralec
499549,0757855,igralec
499549,0000244,igralec
499549,0735442,igralec
120815,0000229,reziser
120815,0000158,igralec
120815,0000354,igralec
120815,0001744,igralec
120815,0122653,igralec
407887,0000217,reziser
407887,0000138,igralec
407887,0000354,igralec
407887,0000197,igralec
407887,0000242,igralec
108052,0000229,reziser
108052,0000553,igralec
108052,0000146,igralec
108052,0001426,igralec
108052,0328751,igralec
209144,0634240,reziser
209144,0001602,igralec
209144,0005251,igralec
209144,0001592,igralec
209144,0095478,igralec
482571,0634240,reziser
482571,0000288,igralec
482571,0413168,igralec
482571,0424060,igralec
482571,0000323,igralec
80684,0449984,reziser
80684,0000434,igralec
80684,0000148,igralec
80684,0000402,igralec
80684,0001850,igralec
169547,0005222,reziser
169547,0000228,igralec
169547,0000906,igralec
169547,0000301,igralec
169547,0004747,igralec
325980,0893659,reziser
325980,0000136,igralec
325980,0001691,igralec
325980,0089217,igralec
325980,0461136,igralec
120338,0000116,reziser
120338,0000138,igralec
120338,0000701,igralec
120338,0000708,igralec
120338,0000870,igralec
434409,0574625,reziser
434409,0915989,igralec
434409,0000204,igralec
434409,0001291,igralec
434409,0001653,igralec
71562,0000338,reziser
71562,0000199,igralec
71562,0000134,igralec
71562,0000380,igralec
71562,0000473,igralec
1130884,0000217,reziser
1130884,0000138,igralec
1130884,0607865,igralec
1130884,0749263,igralec
1130884,0001426,igralec
993846,0000217,reziser
993846,0000138,igralec
993846,1706767,igralec
993846,3053338,igralec
993846,0000190,igralec
120689,0001104,reziser
120689,0000158,igralec
120689,0003817,igralec
120689,0001556,igralec
120689,0001372,igralec
120586,0443411,reziser
120586,0001570,igralec
120586,0000411,igralec
120586,0000350,igralec
120586,0000497,igralec
103064,0000116,reziser
103064,0000216,igralec
103064,0000157,igralec
103064,0000411,igralec
103064,0001598,igralec
114814,0001741,reziser
114814,0000228,igralec
114814,0000321,igralec
114814,0001590,igralec
114814,0000286,igralec
112573,0000154,reziser
112573,0000154,igralec
112573,0000521,igralec
112573,0001526,igralec
112573,0005171,igralec
266697,0000233,reziser
266697,0000235,igralec
266697,0001016,igralec
266697,0000435,igralec
266697,0000514,igralec
88763,0000709,reziser
88763,0000150,igralec
88763,0000502,igralec
88763,0000670,igralec
88763,0000417,igralec
99685,0000217,reziser
99685,0000134,igralec
99685,0000501,igralec
99685,0000582,igralec
99685,0000966,igralec
110413,0000108,reziser
110413,0000606,igralec
110413,0000198,igralec
110413,0000204,igralec
110413,0000732,igralec
910970,0004056,reziser
910970,0123785,igralec
910970,2264184,igralec
910970,0307531,igralec
910970,0929609,igralec
167404,0796117,reziser
167404,0000246,igralec
167404,0005286,igralec
167404,0001057,igralec
167404,0931404,igralec
1392170,0002657,reziser
1392170,2225369,igralec
1392170,1242688,igralec
1392170,2955013,igralec
1392170,0001804,igralec
371746,0269463,reziser
371746,0000375,igralec
371746,0000569,igralec
371746,0005024,igralec
371746,0000313,igralec
266543,0004056,reziser
266543,0881279,reziser
266543,0000983,igralec
266543,0001122,igralec
266543,1071252,igralec
266543,0000353,igralec
2015381,0348181,reziser
2015381,0695435,igralec
2015381,0004874,igralec
2015381,0177896,igralec
2015381,0757855,igralec
86190,0549658,reziser
86190,0000434,igralec
86190,0000148,igralec
86190,0000402,igralec
86190,0001850,igralec
73486,0001232,reziser
73486,0000197,igralec
73486,0001221,igralec
73486,0077720,igralec
73486,0110480,igralec
120382,0001837,reziser
120382,0000120,igralec
120382,0000438,igralec
120382,0001473,igralec
120382,0001187,igralec
338013,0327273,reziser
338013,0000120,igralec
338013,0000701,igralec
338013,0929489,igralec
338013,0004423,igralec
1049413,0230032,reziser
1049413,0677037,reziser
1049413,0000799,igralec
1049413,2973712,igralec
1049413,0001652,igralec
1049413,0001626,igralec
105236,0000233,reziser
105236,0000172,igralec
105236,0000619,igralec
105236,0000514,igralec
105236,0001606,igralec
82971,0000229,reziser
82971,0000148,igralec
82971,0000261,igralec
82971,0293550,igralec
82971,0722636,igralec
401792,0588340,reziser
401792,0001675,reziser
401792,0000233,reziser
401792,0000620,igralec
401792,0654110,igralec
401792,0000246,igralec
401792,0004695,igralec
110357,0021249,reziser
110357,0591450,reziser
110357,0000111,igralec
110357,0000460,igralec
110357,0000469,igralec
110357,0000155,igralec
1010048,0000965,reziser
1010048,0849164,reziser
1010048,2353862,igralec
1010048,2951768,igralec
1010048,0795661,igralec
1010048,0438463,igralec
903624,0001392,reziser
903624,0293509,igralec
903624,0005212,igralec
903624,0035514,igralec
903624,0785227,igralec
114709,0005124,reziser
114709,0000158,igralec
114709,0000741,igralec
114709,0725543,igralec
114709,0001815,igralec
107290,0000229,reziser
107290,0000554,igralec
107290,0000368,igralec
107290,0000156,igralec
107290,0000277,igralec
477348,0001053,reziser
477348,0001054,reziser
477348,0000169,igralec
