id,ime
0001104,Frank Darabont
0000209,Tim Robbins
0000151,Morgan Freeman
0348409,Bob Gunton
0006669,William Sadler
0634240,Christopher Nolan
0000288,Christian Bale
0005132,Heath Ledger
0001173,Aaron Eckhart
0000323,Michael Caine
0000138,Leonardo DiCaprio
0330687,Joseph Gordon-Levitt
0680983,Ellen Page
0913822,Ken Watanabe
0000399,David Fincher
0000093,Brad Pitt
0001570,Edward Norton
0001533,Meat Loaf
0340260,Zach Grenier
0000233,Quentin Tarantino
0000237,John Travolta
0000235,Uma Thurman
0000168,Samuel L. Jackson
0000246,Bruce Willis
0000709,Robert Zemeckis
0000158,Tom Hanks
0000705,Robin Wright
0000641,Gary Sinise
0000398,Sally Field
0001392,Peter Jackson
0000704,Elijah Wood
0005212,Ian McKellen
0089217,Orlando Bloom
0000293,Sean Bean
0905154,Lana Wachowski
0905152,Lilly Wachowski
0000206,Keanu Reeves
0000401,Laurence Fishburne
0005251,Carrie-Anne Moss
0915989,Hugo Weaving
0001557,Viggo Mortensen
0000338,Francis Ford Coppola
0000008,Marlon Brando
0000199,Al Pacino
0001001,James Caan
0000473,Diane Keaton
0362766,Tom Hardy
0004266,Anne Hathaway
0000198,Gary Oldman
0000228,Kevin Spacey
0001825,Andrew Kevin Walker
0923736,Joss Whedon
0000375,Robert Downey Jr.
0262635,Chris Evans
0424060,Scarlett Johansson
0719637,Jeremy Renner
0000631,Ridley Scott
0000128,Russell Crowe
0001618,Joaquin Phoenix
0001567,Connie Nielsen
0001657,Oliver Reed
0000553,Liam Neeson
0004937,Jamie Foxx
0910607,Christoph Waltz
0913488,Kerry Washington
0000190,Matthew McConaughey
1567113,Jessica Chastain
3237775,Mackenzie Foy
0000184,George Lucas
0000434,Mark Hamill
0000148,Harrison Ford
0000402,Carrie Fisher
0000027,Alec Guinness
0001129,Jonathan Demme
0000149,Jodie Foster
0000164,Anthony Hopkins
0095029,Lawrence A. Bonney
0501435,Kasi Lemmons
0744834,Eli Roth
1208167,Diane Kruger
0491259,Mélanie Laurent
0000116,James Cameron
0941777,Sam Worthington
0757855,Zoe Saldana
0000244,Sigourney Weaver
0735442,Michelle Rodriguez
0000229,Steven Spielberg
0000354,Matt Damon
0001744,Tom Sizemore
0122653,Edward Burns
0000217,Martin Scorsese
0000197,Jack Nicholson
0000242,Mark Wahlberg
0000146,Ralph Fiennes
0001426,Ben Kingsley
0328751,Caroline Goodall
0001602,Guy Pearce
0001592,Joe Pantoliano
0095478,Mark Boone Junior
0413168,Hugh Jackman
0449984,Irvin Kershner
0001850,Billy Dee Williams
0005222,Sam Mendes
0000906,Annette Bening
0000301,Thora Birch
0004747,Wes Bentley
0893659,Gore Verbinski
0000136,Johnny Depp
0001691,Geoffrey Rush
0461136,Keira Knightley
0000701,Kate Winslet
0000708,Billy Zane
0000870,Kathy Bates
0574625,James McTeigue
0000204,Natalie Portman
0001291,Rupert Graves
0001653,Stephen Rea
0000134,Robert De Niro
0000380,Robert Duvall
0607865,Emily Mortimer
0749263,Mark Ruffalo
1706767,Jonah Hill
3053338,Margot Robbie
0003817,Michael Clarke Duncan
0001556,David Morse
0001372,Bonnie Hunt
0443411,Tony Kaye
0000411,Edward Furlong
0000350,Beverly D'Angelo
0000497,Jennifer Lien
0000216,Arnold Schwarzenegger
0000157,Linda Hamilton
0001598,Robert Patrick
0001741,Bryan Singer
0000321,Gabriel Byrne
0001590,Chazz Palminteri
0000286,Stephen Baldwin
0000154,Mel Gibson
0000521,Sophie Marceau
0001526,Patrick McGoohan
0005171,Angus Macfadyen
0001016,David Carradine
0000435,Daryl Hannah
0000514,Michael Madsen
0000150,Michael J. Fox
0000502,Christopher Lloyd
0000670,Lea Thompson
0000417,Crispin Glover
0000501,Ray Liotta
0000582,Joe Pesci
0000966,Lorraine Bracco
0000108,Luc Besson
0000606,Jean Reno
0000732,Danny Aiello
0004056,Andrew Stanton
0123785,Ben Burtt
2264184,Elissa Knight
0307531,Jeff Garlin
0929609,Fred Willard
0796117,M. Night Shyamalan
0005286,Haley Joel Osment
0001057,Toni Collette
0931404,Olivia Williams
0002657,Gary Ross
2225369,Jennifer Lawrence
1242688,Josh Hutcherson
2955013,Liam Hemsworth
0001804,Stanley Tucci
0269463,Jon Favreau
0000569,Gwyneth Paltrow
0005024,Terrence Howard
0000313,Jeff Bridges
0881279,Lee Unkrich
0000983,Albert Brooks
0001122,Ellen DeGeneres
1071252,Alexander Gould
0000353,Willem Dafoe
0348181,James Gunn
0695435,Chris Pratt
0004874,Vin Diesel
0177896,Bradley Cooper
0549658,Richard Marquand
0001232,Milos Forman
0001221,Louise Fletcher
0077720,Michael Berryman
0110480,Peter Brocco
0001837,Peter Weir
0000120,Jim Carrey
0000438,Ed Harris
0001473,Laura Linney
0001187,Noah Emmerich
0327273,Michel Gondry
0929489,Tom Wilkinson
0004423,Gerry Robert Byrne
0230032,Pete Docter
0677037,Bob Peterson
0000799,Edward Asner
2973712,Jordan Nagai
0001652,John Ratzenberger
0001626,Christopher Plummer
0000172,Harvey Keitel
0000619,Tim Roth
0001606,Chris Penn
0000261,Karen Allen
0293550,Paul Freeman
0722636,John Rhys-Davies
0588340,Frank Miller
0001675,Robert Rodriguez
0000620,Mickey Rourke
0654110,Clive Owen
0004695,Jessica Alba
0021249,Roger Allers
0591450,Rob Minkoff
0000111,Matthew Broderick
0000460,Jeremy Irons
0000469,James Earl Jones
0000155,Whoopi Goldberg
0000965,Danny Boyle
0849164,Loveleen Tandan
2353862,Dev Patel
2951768,Freida Pinto
0795661,Saurabh Shukla
0438463,Anil Kapoor
0293509,Martin Freeman
0035514,Richard Armitage
0785227,Andy Serkis
0005124,John Lasseter
0000741,Tim Allen
0725543,Don Rickles
0001815,Jim Varney
0000554,Sam Neill
0000368,Laura Dern
0000156,Jeff Goldblum
0000277,Richard Attenborough
0001053,Ethan Coen
0001054,Joel Coen
0000169,Tommy Lee Jones
0000849,Javier Bardem
0000982,Josh Brolin
0000437,Woody Harrelson
0000165,Ron Howard
0000124,Jennifer Connelly
0000040,Stanley Kubrick
0001167,Shelley Duvall
