id,naslov,leto,ocena
0245429,Spirited Away,2001,8.6
1049413,Up,2009,8.3
0184894,Shanghai Noon,2000,6.6
0056172,Lawrence of Arabia,1962,8.4
1631867,Edge of Tomorrow,2014,7.9
0057129,The Haunting,1963,7.6
0045152,Singin&#x27; in the Rain,1952,8.4
0253474,The Pianist,2002,8.5
1490017,The Lego Movie,2014,7.8
0092067,Castle in the Sky,1986,8.1
0052311,Touch of Evil,1958,8.1
0082096,Das Boot,1981,8.4
0092991,Evil Dead II,1987,7.8
3863552,Bajrangi Bhaijaan,2015,8.2
0099685,Goodfellas,1990,8.7
0914798,The Boy in the Striped Pajamas,2008,7.8
0092005,Stand by Me,1986,8.1
0363226,Zatoichi,2003,7.6
0017136,Metropolis,1927,8.3
1136608,District 9,2009,8.0
0796366,Star Trek,2009,8.0
1291584,Warrior,2011,8.2
0038787,Notorious,1946,8.1
0405508,Rang De Basanti,2006,8.4
3322420,Queen,2014,8.4
0289043,28 Days Later...,2002,7.6
0071315,Chinatown,1974,8.3
0110357,The Lion King,1994,8.5
0080455,The Blues Brothers,1980,7.9
0861739,Elite Squad,2007,8.1
0361748,Inglourious Basterds,2009,8.3
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.8
0091369,Labyrinth,1986,7.4
0166896,The Straight Story,1999,8.0
0082010,An American Werewolf in London,1981,7.6
0095250,The Big Blue,1988,7.6
0086879,Amadeus,1984,8.3
0068327,Cabaret,1972,7.9
0065126,True Grit,1969,7.4
0978762,Mary and Max,2009,8.2
0040506,Key Largo,1948,7.9
0198781,"Monsters, Inc.",2001,8.1
0299977,Hero,2002,7.9
0485947,Mr. Nobody,2009,7.9
0021814,Dracula,1931,7.6
0110322,Legends of the Fall,1994,7.5
0347304,Kal Ho Naa Ho,2003,8.1
0067093,Fiddler on the Roof,1971,8.0
0055614,West Side Story,1961,7.6
0816692,Interstellar,2014,8.6
2267998,Gone Girl,2014,8.2
0758758,Into the Wild,2007,8.2
0046359,Stalag 17,1953,8.1
0029947,Bringing Up Baby,1938,8.0
1398426,Straight Outta Compton,2015,8.1
0389557,Black Book,2006,7.8
0075005,The Omen,1976,7.6
0081505,The Shining,1980,8.4
0077631,Grease,1978,7.2
1276419,A Royal Affair,2012,7.6
0374887,Munna Bhai M.B.B.S.,2003,8.4
0203009,Moulin Rouge!,2001,7.6
0061722,The Graduate,1967,8.0
0089218,The Goonies,1985,7.8
0107688,The Nightmare Before Christmas,1993,8.0
0060196,"The Good, the Bad and the Ugly",1966,8.9
0462322,Grindhouse,2007,7.6
0097937,My Left Foot,1989,7.9
0107822,The Piano,1993,7.6
0093389,The Last Emperor,1987,7.8
0460791,The Fall,2006,7.9
0167404,The Sixth Sense,1999,8.1
0073707,Sholay,1975,8.5
0169547,American Beauty,1999,8.4
0061418,Bonnie and Clyde,1967,7.9
0031381,Gone with the Wind,1939,8.2
3416742,What We Do in the Shadows,2014,7.6
1386932,Ip Man 2,2010,7.6
0048424,The Night of the Hunter,1955,8.1
0454921,The Pursuit of Happyness,2006,7.9
0033870,The Maltese Falcon,1941,8.2
1877832,X-Men: Days of Future Past,2014,8.0
0082971,Raiders of the Lost Ark,1981,8.5
0032138,The Wizard of Oz,1939,8.1
0087800,A Nightmare on Elm Street,1984,7.5
0167260,The Lord of the Rings: The Return of the King,2003,8.9
