id,naslov,leto,ocena
fistful_of_dollars,A Fistful of Dollars (Per un Pugno di Dollari),1964,98
truman_show,The Truman Show,1998,94
bamboozled,Bamboozled,2000,48
paths_of_glory,Paths of Glory,1957,94
1193303-1193303-trumbo,Trumbo,2007,82
gloria_2012,Gloria,2014,99
a_separation_2011,A Separation,2011,99
venus,Venus,2006,89
bourne_ultimatum,The Bourne Ultimatum,2007,93
we_are_still_here,We Are Still Here,2015,95
the_homesman,The Homesman,2014,82
1045992-much_ado_about_nothing,Much Ado About Nothing,1993,91
lilo_and_stitch,Lilo & Stitch,2002,86
arthur_christmas,Arthur Christmas,2011,92
gunnin_for_that_1_spot,Gunnin' for That #1 Spot,2008,76
caesar_must_die_2012,Caesar Must Die,2013,91
we_were_here_voices_from_the_aids_years_in_san_francisco,We Were Here,2011,100
best_years_of_our_lives,The Best Years of Our Lives,1946,98
spirited_away,Spirited Away,2001,97
raiders_of_the_lost_ark,Raiders of the Lost Ark,1981,96
the_peanuts_movie,The Peanuts Movie,2015,86
the_book_of_life_2014,The Book of Life,2014,81
dolce_vita,La Dolce Vita,1960,96
rango,Rango,2011,87
dig,Dig!,2004,90
the_host_2007,The Host,2007,92
nightcrawler,Nightcrawler,2014,95
the-fighter,The Fighter,2010,90
the_rover,The Rover,2014,66
american_splendor,American Splendor,2003,94
the_fog_of_war_eleven_lessons_from_the_life_of_robert_s_mcnamara,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,98
princess_bride,The Princess Bride,1987,97
beware_of_mr_baker,Beware Of Mr. Baker,2012,98
terminator_2_judgment_day,Terminator 2: Judgment Day,1991,93
1020333-streetcar_named_desire,A Streetcar Named Desire,1951,98
the_queen_of_versailles,The Queen of Versailles,2012,94
citizen_kane,Citizen Kane,1941,100
last_resort_2001,Last Resort,2001,94
inside_job_2010,Inside Job,2010,98
1208128-tyson,Tyson,2009,85
1078028-hercules,Hercules,1997,83
before_midnight_2013,Before Midnight,2013,98
mad_max_fury_road,Mad Max: Fury Road,2015,97
bill_cunningham_new_york_2010,Bill Cunningham New York,2011,99
shadow_of_the_vampire,Shadow of the Vampire,2000,81
cool_hand_luke,Cool Hand Luke,1967,100
the_artist,The Artist,2011,97
bears_2014,Bears,2014,89
say_anything,Say Anything...,1989,98
horton-hears-a-who2008,Dr. Seuss' Horton Hears a Who!,2008,79
paddington_2014,Paddington,2015,98
jurassic_park,Jurassic Park,1993,93
carol,Carol,2015,94
with_a_friend_like_harry,With a Friend like Harry...,2001,96
1009113-halloween,Halloween,1978,92
u2_3d,U2 3D,2007,93
akeelah_and_the_bee,Akeelah and the Bee,2006,84
1194522-how_to_train_your_dragon,How to Train Your Dragon,2010,98
goon,Goon,2012,82
secretariat,Secretariat,2010,64
bugs_life,A Bug's Life,1998,92
one_flew_over_the_cuckoos_nest,One Flew Over the Cuckoo's Nest,1975,95
what_we_do_in_the_shadows,What We Do In The Shadows,2015,96
silver_linings_playbook,Silver Linings Playbook,2012,92
toy_story_2,Toy Story 2,1999,100
replacements,The Replacements,2000,41
soul_surfer,Soul Surfer,2011,46
beatles_the_yellow_submarine,Yellow Submarine,1968,96
crumb,Crumb,1995,95
anatomy-of-a-murder,Anatomy of a Murder,1959,100
mr_turner,Mr. Turner,2014,98
la_confidential,L.A. Confidential,1997,99
gojira,Gojira,1956,93
the_invisible_war,The Invisible War,2012,98
joe_strummer_the_future_is_unwritten,Joe Strummer: The Future Is Unwritten,2007,89
american_outlaws,American Outlaws,2001,14
1006299-dressed_to_kill,Dressed to Kill,1980,83
1021244-thing,The Thing,1982,80
wings_of_desire,Wings of Desire,1987,98
1195800-my_winnipeg,My Winnipeg,2007,94
the_story_of_the_weeping_camel,The Story of the Weeping Camel,2004,94
dave,Dave,1993,94
enron_the_smartest_guys_in_the_room,Enron: The Smartest Guys in the Room,2005,97
selma,Selma,2015,99
10009738-revanche,Revanche,2009,96
fellini_im_a_born_liar,Fellini: I'm a Born Liar,2003,73
devil_came_on_horseback,The Devil Came on Horseback,2007,98
my_fair_lady,My Fair Lady,1964,96
show_business,ShowBusiness: The Road to Broadway,2007,88
1111103-texas_rangers,Texas Rangers,2001,2
city_lights,City Lights,1931,98
the_secret_world_of_arrietty,The Secret World of Arrietty,2012,95
cormans_world_exploits_of_a_hollywood_rebel,Corman's World: Exploits Of A Hollywood Rebel,2011,92
hairspray,Hairspray,2007,91
behind_the_candelabra,Behind the Candelabra,2013,95
taxi_driver,Taxi Driver,1976,98
13_assassins_2011,13 Assassins,2011,96
best_of_youth,The Best of Youth (La meglio gioventù),2003,95
children_of_men,Children of Men,2006,92
a_million_ways_to_die_in_the_west,A Million Ways to Die in the West,2014,33
prince_of_egypt,The Prince of Egypt,1998,79
song_of_the_sea_2014,Song Of The Sea,2014,99
when_harry_met_sally,When Harry Met Sally,1989,89
waltz_with_bashir,Waltz with Bashir,2008,96
riding_giants,Riding Giants,2004,93
persepolis,Persepolis,2007,96
fantasia_2000,Fantasia 2000,2000,82
finding_nemo,Finding Nemo,2003,99
meeks_cutoff,Meek's Cutoff,2011,85
shaun_the_sheep_2015,Shaun the Sheep,2015,99
sir_no_sir,Sir! No Sir!,2006,89
blue_velvet,Blue Velvet,1986,93
west_side_story,West Side Story,1961,94
district_9,District 9,2009,90
descent,The Descent,2006,85
im_still_here_2010,I'm Still Here,2010,53
the_rules_of_the_game,The Rules of the Game,1950,98
1005371-day_the_earth_stood_still,The Day the Earth Stood Still,1951,94
goodnight_mommy,Goodnight Mommy,2015,83
x_men_days_of_future_past,X-Men: Days of Future Past,2014,91
manhattan,Manhattan,1979,98
frozen_2013,Frozen,2013,89
1013775-metropolis,Metropolis,1927,99
battleship_potemkin,Battleship Potemkin,1925,100
ever_after_a_cinderella_story,Ever After: A Cinderella Story,1998,91
sound_city,Sound City,2013,100
tangerine_2015,Tangerine,2015,96
iron_man,Iron Man,2008,94
cinema_paradiso,Cinema Paradiso (Nuovo Cinema Paradiso),1988,90
1155467-glory_road,Glory Road,2006,55
1197992-perfect_game,The Perfect Game,2010,57
south_park_bigger_longer_and_uncut,"South Park: Bigger, Longer & Uncut",1999,81
life_itself,Life Itself,2014,97
shrek,Shrek,2001,88
nightmare_on_elm_street,A Nightmare on Elm Street,1984,94
hoosiers,Hoosiers,1986,88
assassination_of_jesse_james_by_the_coward_robert_ford,The Assassination of Jesse James by the Coward Robert Ford,2007,76
the_martian,The Martian,2015,93
king_of_kong,The King of Kong: A Fistful of Quarters,2007,97
the-heart-of-the-game,The Heart of the Game,2005,86
charlottes_web,Charlotte's Web,2006,78
war_tapes,The War Tapes,2006,98
whats_love_got_to_do_with_it,What's Love Got To Do With It?,1993,96
invincible,Invincible,2006,71
rashomon,Rashômon (Rashomon) (In the Woods),1951,100
hurt_locker,The Hurt Locker,2009,98
1109257-others,The Others,2001,83
roman_holiday,Roman Holiday,1953,98
10008785-appaloosa,Appaloosa,2008,77
mad_max_2_the_road_warrior_1981,Mad Max 2: The Road Warrior,1981,98
midnight_run,Midnight Run,1988,96
madagascar_3_europes_most_wanted_2012,Madagascar 3: Europe's Most Wanted,2012,79
toy_story,Toy Story,1995,100
grindhouse,Grindhouse,2007,83
red_hill_2010,Red Hill,2010,78
1021112-texas_chainsaw_massacre,The Texas Chainsaw Massacre,1974,88
first_position_2011,First Position,2012,93
this_is_not_a_film_2011,This Is Not a Film,2012,98
a_tale_of_two_sisters,A Tale of Two Sisters,2003,85
1158528-goal,Goal! The Dream Begins (Goal!: The Impossible Dream),2005,44
1122382-spellbound,Spellbound,2002,98
russian_ark,Russian Ark,2002,89
nashville,Nashville,1975,93
casino_royale,Casino Royale,2006,95
coraline,Coraline,2009,90
crouching_tiger_hidden_dragon,"Crouching Tiger, Hidden Dragon",2001,97
lost_in_translation,Lost In Translation,2003,95
the_babadook,The Babadook,2014,98
the_hunger_games_catching_fire,The Hunger Games: Catching Fire,2013,89
queen,The Queen,2006,97
alien,Alien,1979,97
10006630-life_of_reilly,The Life of Reilly,2007,98
we_are_the_best,We Are the Best!,2014,97
the_grand_budapest_hotel,The Grand Budapest Hotel,2014,92
topsyturvy,Topsy-Turvy,1999,89
the-social-network,The Social Network,2010,96
the-secret-of-kells,The Secret of Kells,2010,91
the_conjuring,The Conjuring,2013,86
taxi_to_the_dark_side,Taxi to the Dark Side,2007,100
french_connection,The French Connection,1971,98
burma-vj,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country),2008,97
1000013-12_angry_men,12 Angry Men (Twelve Angry Men),1957,100
apocalypse_now,Apocalypse Now,1979,97
to_catch_a_thief,To Catch a Thief,1955,95
slumdog_millionaire,Slumdog Millionaire,2008,92
station_agent,The Station Agent,2003,95
grbavica,Grbavica,2007,98
monsters_inc,"Monsters, Inc.",2001,96
1058966-red,Three Colors: Red (Trois couleurs: Rouge),1994,100
metallica_some_kind_of_monster,Metallica: Some Kind of Monster,2004,89
9400,Forbidden Planet,1956,98
incredibles,The Incredibles,2004,97
crying_game,The Crying Game,1992,97
pom_wonderful_presents_the_greatest_movie_ever_sold,POM Wonderful Presents: The Greatest Movie Ever Sold,2011,73
gremlins,Gremlins,1984,85
1004151-christmas_story,A Christmas Story,1983,89
1000121-39_steps,The 39 Steps,1935,98
