koren,stevilo,drama,biography,action,family,horror,fantasy,sport,comedy,crime,mystery,animation,sci_fi,thriller,music,history,film_noir,war,western,romance,musical,adventure
,4199,2590,390,664,567,282,540,246,1046,759,543,484,431,1025,238,388,222,396,228,810,325,808
$,519,339,76,65,64,31,40,40,114,92,55,46,39,116,41,102,12,68,17,68,27,64
aart,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aatagar,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0
ab,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
abagnal,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
abandon,31,19,4,1,17,1,10,0,15,0,5,11,0,6,0,1,1,1,1,0,1,16
abanish,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abb,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
abbas,3,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
abby,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
abdicat,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
abduct,14,8,4,7,0,1,2,1,0,2,2,6,3,2,0,4,0,1,0,0,0,6
abducting,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
abduction,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
abdulaziz,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
aberration,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
abhay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
abhimany,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
abhiram,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
abhor,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
abidin,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abilit,5,1,0,4,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1
ability,14,13,0,8,0,0,0,0,5,9,5,4,5,2,0,0,0,0,0,4,0,4
abl,15,12,2,2,2,0,2,0,7,1,1,0,2,2,0,2,1,0,0,8,1,0
abnormal,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5
aboar,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abod,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abomination,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
about,258,164,29,39,31,6,28,15,69,46,37,18,18,57,32,33,6,29,9,68,20,27
abov,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abr,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
absenc,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3
absent,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
absorb,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
absur,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
abus,16,8,0,3,0,7,2,0,1,7,0,0,0,10,0,0,0,0,0,1,1,0
abusiv,3,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
abys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
